VNINDEX,20/04/2022	1,384.72 	-21.73 (-1.55 %)	   	619,272,500 	19,274,898,070,000 	28,821,292 	940,665,680,000 	1,401.63 	1,410.64 	1,384.72 
VNINDEX,19/04/2022	1,406.45 	-65.67 (-4.46 %)	   	666,337,000 	20,896,310,846,000 	28,365,038 	1,570,309,800,000 	1,435.82 	1,442.04 	1,406.45 
VNINDEX,18/04/2022	1,432.60 	-25.96 (-1.78 %)	   	753,341,100 	24,619,271,680,000 	32,232,935 	1,191,494,230,000 	1,456.47 	1,456.47 	1,425.07 
VNINDEX,15/04/2022	1,458.56 	-13.56 (-0.92 %)	   	606,633,800 	20,771,289,880,000 	19,748,286 	825,455,080,000 	1,470.53 	1,478.95 	1,456.39 
VNINDEX,14/04/2022	1,472.12 	-5.08 (-0.34 %)	   	498,914,000 	17,238,582,930,000 	24,455,795 	1,264,882,070,000 	1,483.08 	1,484.34 	1,471.75 
VNINDEX,13/04/2022	1,477.20 	21.95 (1.51 %)	   	636,344,500 	19,585,865,581,000 	37,846,822 	2,461,473,350,000 	1,459.48 	1,477.20 	1,448.52 
VNINDEX,12/04/2022	1,455.25 	-26.75 (-1.80 %)	   	629,961,600 	20,075,550,590,000 	17,379,467 	967,729,300,000 	1,487.86 	1,490.58 	1,455.25 
VNINDEX,08/04/2022	1,482.00 	-20.35 (-1.35 %)	   	712,360,900 	22,392,030,990,000 	18,867,724 	974,976,510,000 	1,504.31 	1,507.73 	1,482.00 
VNINDEX,07/04/2022	1,502.35 	-20.55 (-1.35 %)	   	727,039,800 	25,147,148,360,000 	25,119,770 	1,663,701,950,000 	1,524.12 	1,524.92 	1,502.35 
VNINDEX,06/04/2022	1,522.90 	2.87 (0.19 %)	   	873,777,900 	28,610,570,060,000 	31,244,697 	1,306,976,280,000 	1,510.69 	1,523.75 	1,507.62 
VNINDEX,05/04/2022	1,520.03 	-4.67 (-0.31 %)	   	631,745,800 	20,452,320,070,000 	36,518,100 	1,136,703,610,000 	1,521.37 	1,527.57 	1,519.28 
VNINDEX,04/04/2022	1,524.70 	8.26 (0.54 %)	   	697,174,200 	25,147,324,300,000 	32,015,636 	1,076,300,040,000 	1,528.87 	1,530.95 	1,522.82 
VNINDEX,01/04/2022	1,516.44 	26.96 (1.81 %)	   	890,089,000 	24,988,459,670,250 	77,583,935 	1,710,591,600,000 	1,489.48 	1,516.87 	1,484.13 
VNINDEX,31/03/2022	1,492.15 	1.64 (0.11 %)	   	601,257,500 	19,905,200,400,000 	49,273,020 	1,746,046,760,000 	1,492.50 	1,498.41 	1,488.27 
VNINDEX,30/03/2022	1,490.51 	-7.25 (-0.48 %)	   	851,999,600 	27,708,702,010,000 	17,198,400 	787,711,790,000 	1,491.92 	1,503.89 	1,483.90 
VNINDEX,29/03/2022	1,497.76 	14.58 (0.98 %)	   	658,819,400 	21,600,890,690,000 	48,019,308 	1,748,605,700,000 	1,487.57 	1,498.45 	1,487.57 
VNINDEX,28/03/2022	1,483.18 	-15.32 (-1.02 %)	   	956,230,200 	30,404,392,550,000 	76,503,543 	2,388,363,470,000 	1,490.28 	1,496.79 	1,473.80 
VNINDEX,25/03/2022	1,498.50 	0.24 (0.02 %)	   	697,177,400 	22,540,842,580,000 	38,869,978 	1,703,484,740,000 	1,500.17 	1,503.29 	1,494.55 
VNINDEX,24/03/2022	1,498.26 	-4.08 (-0.27 %)	   	731,841,800 	23,599,415,990,000 	29,440,231 	1,135,127,090,000 	1,503.91 	1,505.39 	1,495.18 
VNINDEX,23/03/2022	1,502.34 	-1.44 (-0.10 %)	   	754,499,800 	24,089,483,890,000 	60,903,132 	3,339,080,090,000 	1,505.76 	1,513.90 	1,501.67 
VNINDEX,22/03/2022	1,503.78 	8.83 (0.59 %)	   	907,837,000 	26,780,916,471,900 	39,859,665 	1,705,169,090,000 	1,500.08 	1,507.71 	1,498.48 
VNINDEX,21/03/2022	1,494.95 	25.85 (1.76 %)	   	728,427,200 	21,935,908,393,400 	63,729,614 	2,288,956,110,000 	1,469.10 	1,494.95 	1,469.10 
VNINDEX,18/03/2022	1,469.10 	7.76 (0.53 %)	   	721,230,300 	22,264,693,540,000 	50,113,760 	1,924,713,200,000 	1,466.14 	1,474.86 	1,465.57 
VNINDEX,17/03/2022	1,461.34 	2.01 (0.14 %)	   	665,148,800 	19,635,984,450,000 	33,761,308 	1,682,759,750,000 	1,466.56 	1,467.74 	1,459.14 
VNINDEX,16/03/2022	1,459.33 	6.59 (0.45 %)	   	525,397,100 	16,380,036,980,000 	79,554,942 	2,285,211,140,000 	1,459.97 	1,462.98 	1,453.91 
VNINDEX,15/03/2022	1,452.74 	6.49 (0.45 %)	   	614,172,600 	20,322,998,330,000 	31,483,567 	1,281,009,200,000 	1,445.05 	1,453.07 	1,437.27 
VNINDEX,14/03/2022	1,446.25 	-20.29 (-1.38 %)	   	783,682,300 	25,491,895,550,000 	40,972,501 	1,537,871,020,000 	1,459.28 	1,466.54 	1,439.19 
VNINDEX,11/03/2022	1,466.54 	-12.54 (-0.85 %)	   	827,336,200 	26,765,007,770,000 	21,413,631 	771,911,130,000 	1,478.23 	1,480.29 	1,458.88 
VNINDEX,10/03/2022	1,479.08 	5.34 (0.36 %)	   	606,653,300 	20,335,916,200,000 	20,847,397 	789,362,960,000 	1,473.74 	1,488.59 	1,473.74 
VNINDEX,09/03/2022	1,473.74 	0.03 (0.00 %)	   	859,273,700 	28,785,850,860,000 	40,148,346 	1,540,727,520,000 	1,478.16 	1,482.86 	1,462.80 
VNINDEX,08/03/2022	1,473.71 	-25.34 (-1.69 %)	   	946,264,000 	32,037,010,140,000 	52,299,113 	2,212,958,830,000 	1,499.05 	1,499.05 	1,473.71 
VNINDEX,07/03/2022	1,499.05 	-6.28 (-0.42 %)	   	944,252,700 	29,854,022,764,900 	37,467,921 	1,583,155,560,000 	1,500.65 	1,505.33 	1,493.87 
VNINDEX,04/03/2022	1,505.33 	0.33 (0.02 %)	   	842,435,300 	27,514,668,160,000 	52,247,690 	1,898,563,770,000 	1,506.79 	1,509.19 	1,501.39 
VNINDEX,03/03/2022	1,505.00 	19.48 (1.31 %)	   	856,180,700 	29,028,012,250,000 	26,058,988 	1,018,052,240,000 	1,492.42 	1,505.00 	1,485.52 
VNINDEX,02/03/2022	1,485.52 	-13.26 (-0.88 %)	   	864,826,100 	29,117,278,200,000 	26,496,330 	992,541,740,000 	1,499.37 	1,500.41 	1,479.55 
VNINDEX,01/03/2022	1,498.78 	8.65 (0.58 %)	   	763,985,300 	24,753,077,970,000 	33,562,982 	1,106,241,680,000 	1,493.41 	1,501.73 	1,490.13 
VNINDEX,28/02/2022	1,490.13 	-8.76 (-0.58 %)	   	660,300,600 	22,547,108,400,000 	31,481,425 	824,660,740,000 	1,499.31 	1,502.36 	1,487.57 
VNINDEX,25/02/2022	1,498.89 	4.04 (0.27 %)	   	688,367,500 	24,439,733,750,000 	31,849,310 	1,022,886,970,000 	1,504.37 	1,512.05 	1,494.85 
VNINDEX,24/02/2022	1,494.85 	-17.45 (-1.15 %)	   	1,081,033,200 	33,890,665,680,000 	19,592,084 	759,170,390,000 	1,511.84 	1,513.25 	1,473.76 
VNINDEX,23/02/2022	1,512.30 	8.83 (0.59 %)	   	626,441,100 	21,280,036,770,000 	31,288,950 	935,441,350,000 	1,509.42 	1,520.78 	1,503.47 
VNINDEX,22/02/2022	1,503.47 	-7.37 (-0.49 %)	   	840,921,100 	26,894,583,450,000 	29,670,588 	1,205,220,960,000 	1,497.46 	1,510.84 	1,484.81 
VNINDEX,21/02/2022	1,510.84 	6.00 (0.40 %)	   	700,630,100 	21,768,853,480,000 	54,225,106 	1,416,375,930,000 	1,504.96 	1,516.63 	1,500.97 
VNINDEX,18/02/2022	1,504.84 	-3.15 (-0.21 %)	   	644,038,600 	21,022,910,920,000 	24,907,900 	918,708,912,000 	1,494.30 	1,507.99 	1,492.38 
VNINDEX,17/02/2022	1,507.99 	15.89 (1.06 %)	   	562,210,800 	18,285,492,520,000 	26,802,250 	1,101,261,576,000 	1,492.56 	1,507.99 	1,492.10 
VNINDEX,16/02/2022	1,492.10 	-0.65 (-0.04 %)	   	592,349,200 	17,649,218,130,000 	84,604,411 	2,302,232,067,650 	1,499.03 	1,499.50 	1,486.68 
VNINDEX,15/02/2022	1,492.75 	20.79 (1.41 %)	   	535,470,800 	17,366,412,060,000 	33,166,800 	1,660,131,400,000 	1,473.92 	1,495.56 	1,470.06 
VNINDEX,14/02/2022	1,471.96 	-29.75 (-1.98 %)	   	716,040,200 	23,754,039,890,000 	58,951,904 	2,088,559,456,400 	1,485.75 	1,495.99 	1,471.96 
VNINDEX,11/02/2022	1,501.71 	-5.08 (-0.34 %)	   	548,873,400 	17,991,205,770,000 	58,876,970 	3,558,485,888,060 	1,503.37 	1,508.54 	1,499.06 
VNINDEX,10/02/2022	1,506.79 	1.41 (0.09 %)	   	585,239,000 	19,809,262,560,000 	50,511,790 	1,809,743,792,000 	1,505.38 	1,512.88 	1,495.70 
VNINDEX,09/02/2022	1,505.38 	4.39 (0.29 %)	   	712,308,800 	23,324,257,310,000 	35,949,611 	1,465,343,851,500 	1,500.78 	1,511.72 	1,499.53 
VNINDEX,08/02/2022	1,500.99 	3.33 (0.22 %)	   	657,543,900 	20,998,125,850,000 	32,392,507 	1,312,431,188,600 	1,495.58 	1,503.33 	1,491.78 
VNINDEX,07/02/2022	1,497.66 	18.70 (1.26 %)	   	514,106,400 	17,048,908,120,000 	24,773,365 	858,693,868,400 	1,497.55 	1,505.69 	1,478.96 
VNINDEX,28/01/2022	1,478.96 	8.20 (0.56 %)	   	632,108,500 	19,063,370,650,000 	38,458,179 	1,482,320,790,950 	1,471.47 	1,484.48 	1,465.22 
VNINDEX,27/01/2022	1,470.76 	-10.82 (-0.73 %)	   	494,450,500 	15,449,892,170,000 	41,628,640 	1,190,231,206,000 	1,475.45 	1,486.39 	1,464.06 
VNINDEX,26/01/2022	1,481.58 	2.00 (0.14 %)	   	733,274,800 	21,782,989,520,000 	44,199,632 	1,539,743,078,000 	1,485.83 	1,490.45 	1,478.41 
VNINDEX,25/01/2022	1,479.58 	39.87 (2.77 %)	   	675,565,100 	20,321,162,220,000 	39,651,050 	1,629,571,475,000 	1,433.20 	1,479.58 	1,424.36 
VNINDEX,24/01/2022	1,439.71 	-33.18 (-2.25 %)	   	754,916,000 	23,400,484,380,000 	31,454,369 	1,280,266,221,600 	1,465.33 	1,472.89 	1,432.18 
VNINDEX,21/01/2022	1,472.89 	7.59 (0.52 %)	   	753,804,800 	21,621,275,600,000 	26,210,448 	1,278,905,492,950 	1,470.96 	1,477.23 	1,463.06 
